filename,size,size_gb
chunk_0-00323-of-00546.parquet,186467111,0.174
chunk_0-00324-of-00546.parquet,170740687,0.159
chunk_0-00325-of-00546.parquet,167995856,0.156
chunk_0-00326-of-00546.parquet,180607105,0.168
chunk_0-00327-of-00546.parquet,179737345,0.167
chunk_0-00328-of-00546.parquet,168457164,0.157
chunk_0-00329-of-00546.parquet,173639241,0.162
chunk_0-00330-of-00546.parquet,160313066,0.149
chunk_0-00331-of-00546.parquet,150568692,0.14
chunk_0-00332-of-00546.parquet,149738922,0.139
chunk_0-00333-of-00546.parquet,150491167,0.14
chunk_0-00334-of-00546.parquet,171844558,0.16
chunk_0-00335-of-00546.parquet,170092565,0.158
chunk_0-00336-of-00546.parquet,168667681,0.157
chunk_0-00337-of-00546.parquet,187834239,0.175
chunk_0-00338-of-00546.parquet,197298385,0.184
chunk_0-00339-of-00546.parquet,193882513,0.181
chunk_0-00340-of-00546.parquet,176871313,0.165
chunk_0-00341-of-00546.parquet,180242394,0.168
chunk_0-00342-of-00546.parquet,172854987,0.161
chunk_0-00343-of-00546.parquet,161009819,0.15
chunk_0-00344-of-00546.parquet,160902832,0.15
chunk_0-00345-of-00546.parquet,147588590,0.137
chunk_0-00346-of-00546.parquet,148961056,0.139
chunk_0-00347-of-00546.parquet,145002758,0.135
chunk_0-00348-of-00546.parquet,149533241,0.139
chunk_0-00349-of-00546.parquet,142907928,0.133
chunk_0-00350-of-00546.parquet,127584630,0.119
chunk_0-00351-of-00546.parquet,134244210,0.125
chunk_0-00352-of-00546.parquet,130731094,0.122
chunk_0-00353-of-00546.parquet,132747810,0.124
chunk_0-00354-of-00546.parquet,125800780,0.117
chunk_0-00355-of-00546.parquet,130297603,0.121
chunk_0-00356-of-00546.parquet,134145707,0.125
chunk_0-00357-of-00546.parquet,140230598,0.131
chunk_0-00358-of-00546.parquet,152701820,0.142
chunk_0-00359-of-00546.parquet,161389068,0.15
chunk_0-00360-of-00546.parquet,166666732,0.155
chunk_0-00361-of-00546.parquet,165375663,0.154
chunk_0-00362-of-00546.parquet,165201144,0.154
chunk_0-00363-of-00546.parquet,152500387,0.142
chunk_0-00364-of-00546.parquet,150693519,0.14
chunk_0-00365-of-00546.parquet,146147789,0.136
chunk_0-00366-of-00546.parquet,152890006,0.142
chunk_0-00367-of-00546.parquet,156799133,0.146
chunk_0-00368-of-00546.parquet,151628116,0.141
chunk_0-00369-of-00546.parquet,172245752,0.16
chunk_0-00370-of-00546.parquet,176455143,0.164
chunk_0-00371-of-00546.parquet,179776299,0.167
chunk_0-00372-of-00546.parquet,179466791,0.167
chunk_0-00373-of-00546.parquet,173630158,0.162
chunk_0-00374-of-00546.parquet,179116150,0.167
chunk_0-00375-of-00546.parquet,175982426,0.164
chunk_0-00376-of-00546.parquet,171500845,0.16
chunk_0-00377-of-00546.parquet,166806586,0.155
chunk_0-00378-of-00546.parquet,158997033,0.148
chunk_0-00379-of-00546.parquet,152179397,0.142
chunk_0-00380-of-00546.parquet,157831495,0.147
chunk_0-00381-of-00546.parquet,131724987,0.123
chunk_0-00382-of-00546.parquet,136564812,0.127
chunk_0-00383-of-00546.parquet,113468823,0.106
chunk_0-00384-of-00546.parquet,115625401,0.108
chunk_0-00385-of-00546.parquet,128379997,0.12
chunk_0-00386-of-00546.parquet,135703036,0.126
chunk_0-00387-of-00546.parquet,149241056,0.139
chunk_0-00388-of-00546.parquet,138120607,0.129
chunk_0-00389-of-00546.parquet,144200695,0.134
chunk_0-00390-of-00546.parquet,145593058,0.136
chunk_0-00391-of-00546.parquet,149343290,0.139
chunk_0-00392-of-00546.parquet,146291145,0.136
chunk_0-00393-of-00546.parquet,144372053,0.134
chunk_0-00394-of-00546.parquet,144035905,0.134
chunk_0-00395-of-00546.parquet,140790835,0.131
chunk_0-00396-of-00546.parquet,129283974,0.12
chunk_0-00397-of-00546.parquet,117043809,0.109
chunk_0-00398-of-00546.parquet,96697183,0.09
chunk_0-00399-of-00546.parquet,80927163,0.075
chunk_0-00400-of-00546.parquet,64721339,0.06
chunk_0-00401-of-00546.parquet,66439652,0.062
chunk_0-00402-of-00546.parquet,83163626,0.077
chunk_0-00403-of-00546.parquet,98621995,0.092
chunk_0-00404-of-00546.parquet,105662929,0.098
chunk_0-00405-of-00546.parquet,112738094,0.105
chunk_0-00406-of-00546.parquet,133249096,0.124
chunk_0-00407-of-00546.parquet,153077968,0.143
chunk_0-00408-of-00546.parquet,162175018,0.151
chunk_0-00409-of-00546.parquet,185717412,0.173
chunk_0-00410-of-00546.parquet,152753714,0.142
chunk_0-00411-of-00546.parquet,159419732,0.148
chunk_0-00412-of-00546.parquet,162394163,0.151
chunk_0-00413-of-00546.parquet,152000753,0.142
chunk_0-00414-of-00546.parquet,161944124,0.151
chunk_0-00415-of-00546.parquet,115009016,0.107
chunk_0-00416-of-00546.parquet,121831407,0.113
chunk_0-00417-of-00546.parquet,106590464,0.099
chunk_0-00418-of-00546.parquet,120224925,0.112
chunk_0-00419-of-00546.parquet,114853619,0.107
chunk_0-00420-of-00546.parquet,106068158,0.099
chunk_0-00421-of-00546.parquet,103366658,0.096
chunk_0-00422-of-00546.parquet,102837567,0.096
chunk_0-00423-of-00546.parquet,103274426,0.096
chunk_0-00424-of-00546.parquet,115502982,0.108
chunk_0-00425-of-00546.parquet,123952277,0.115
chunk_0-00426-of-00546.parquet,116922670,0.109
chunk_0-00427-of-00546.parquet,126568506,0.118
chunk_0-00428-of-00546.parquet,120219960,0.112
chunk_0-00429-of-00546.parquet,149799411,0.14
chunk_0-00430-of-00546.parquet,136828730,0.127
chunk_0-00431-of-00546.parquet,161954447,0.151
chunk_0-00432-of-00546.parquet,147065813,0.137
chunk_0-00433-of-00546.parquet,142719135,0.133
chunk_0-00434-of-00546.parquet,145752768,0.136
chunk_0-00435-of-00546.parquet,126112123,0.117
chunk_0-00436-of-00546.parquet,124915750,0.116
chunk_0-00437-of-00546.parquet,144655417,0.135
chunk_0-00438-of-00546.parquet,129827278,0.121
chunk_0-00439-of-00546.parquet,138985973,0.129
chunk_0-00440-of-00546.parquet,158480784,0.148
chunk_0-00441-of-00546.parquet,164783982,0.153
chunk_0-00442-of-00546.parquet,169834580,0.158
chunk_0-00443-of-00546.parquet,182110769,0.17
chunk_0-00444-of-00546.parquet,162150938,0.151
chunk_0-00445-of-00546.parquet,165816872,0.154
chunk_0-00446-of-00546.parquet,148096451,0.138
chunk_0-00447-of-00546.parquet,153741835,0.143
chunk_0-00448-of-00546.parquet,151996749,0.142
chunk_0-00449-of-00546.parquet,135780423,0.126
chunk_0-00450-of-00546.parquet,155436206,0.145
chunk_0-00451-of-00546.parquet,154158644,0.144
chunk_0-00452-of-00546.parquet,142169962,0.132
chunk_0-00453-of-00546.parquet,139658932,0.13
chunk_0-00454-of-00546.parquet,149175626,0.139
chunk_0-00455-of-00546.parquet,144007066,0.134
